Time, gx1, gy1, gz1, gx2, gy2, gz2, ax1, ay1, az1, ax2, ay2, az2
16097, 1.79, -3.52, -80.43, 9.14, 4.03, -18.28, 0.31, -0.59, 0.05, 0.77, -0.69, 0.02, 
16104, 1.46, -6.32, -87.94, 7.44, 1.31, -26.19, 0.30, -0.60, 0.04, 0.76, -0.69, 0.00, 
16112, 1.48, -6.11, -95.73, 5.48, 2.97, -34.20, 0.31, -0.60, 0.03, 0.73, -0.70, 0.00, 
16120, 2.47, -5.93, -103.29, 5.59, 2.72, -41.97, 0.32, -0.62, 0.05, 0.76, -0.69, 0.02, 
16127, 2.91, -10.68, -113.26, 5.50, 3.80, -51.56, 0.32, -0.64, 0.06, 0.75, -0.70, 0.01, 
16135, 2.58, -15.19, -120.05, 5.15, 3.05, -59.19, 0.31, -0.65, 0.04, 0.74, -0.72, -0.02, 
16143, 3.81, -16.29, -128.03, 4.24, 1.19, -67.03, 0.32, -0.68, 0.05, 0.74, -0.72, -0.03, 
16150, 5.26, -11.04, -137.18, 2.00, -1.60, -75.31, 0.33, -0.71, 0.05, 0.73, -0.73, 0.00, 
16159, 3.24, -5.08, -145.46, 2.28, -2.10, -82.59, 0.34, -0.73, 0.02, 0.72, -0.72, 0.02, 
16167, 5.46, -4.25, -153.84, -1.44, 1.93, -89.91, 0.33, -0.75, 0.05, 0.73, -0.70, 0.11, 
16174, 5.92, -2.20, -163.69, 1.71, -0.96, -97.87, 0.33, -0.79, 0.07, 0.70, -0.76, -0.07, 
16183, 5.38, 1.04, -172.42, -1.96, 1.59, -104.73, 0.36, -0.81, 0.05, 0.70, -0.76, -0.02, 
16190, 5.47, 1.32, -181.35, -1.10, 0.48, -111.31, 0.37, -0.84, 0.04, 0.68, -0.76, 0.06, 
16197, 5.92, 0.24, -191.81, -0.55, 0.23, -118.39, 0.38, -0.87, 0.05, 0.65, -0.77, -0.00, 
16206, 5.23, -2.46, -200.83, -2.14, 0.18, -124.31, 0.39, -0.91, 0.04, 0.63, -0.78, -0.01, 
16213, 4.67, -6.37, -209.91, -2.54, 1.82, -130.09, 0.39, -0.95, 0.03, 0.62, -0.78, 0.03, 
16222, 5.07, -13.63, -220.73, -3.20, 1.57, -136.37, 0.39, -0.97, 0.04, 0.61, -0.79, -0.00, 
16230, 4.83, -17.34, -230.26, -2.57, 2.68, -141.82, 0.37, -1.01, 0.02, 0.60, -0.81, -0.01, 
16237, 3.89, -9.23, -241.18, -2.55, -2.74, -147.13, 0.37, -1.05, -0.00, 0.57, -0.82, 0.00, 
16246, 3.99, 2.96, -250.85, -4.21, -5.66, -151.19, 0.40, -1.08, -0.02, 0.57, -0.81, 0.05, 
16254, 3.33, 6.48, -261.77, -1.98, -9.45, -156.36, 0.41, -1.13, 0.00, 0.59, -0.81, 0.15, 
16261, 1.30, -1.94, -271.13, 2.76, -12.03, -159.96, 0.39, -1.18, 0.02, 0.47, -0.91, -0.12, 
16270, 0.02, -14.74, -281.91, -4.40, -0.91, -164.56, 0.38, -1.22, 0.00, 0.52, -0.85, 0.06, 
16278, -0.34, -12.28, -286.72, -0.09, -12.50, -168.04, 0.32, -1.25, 0.02, 0.43, -0.85, 0.08, 
16286, -1.53, 0.92, -286.72, -2.79, -4.32, -172.16, 0.33, -1.30, -0.01, 0.48, -0.90, -0.02, 
16295, -2.57, 3.74, -286.72, -2.25, -6.45, -176.16, 0.31, -1.34, 0.01, 0.46, -0.89, -0.01, 
16303, -3.49, 6.82, -286.72, -1.14, -3.26, -179.22, 0.31, -1.40, 0.02, 0.36, -0.92, 0.11, 
16310, -5.72, 8.09, -286.72, -0.08, -3.33, -182.18, 0.28, -1.43, -0.00, 0.37, -0.93, -0.04, 
16319, -8.02, 9.10, -286.72, -2.03, -7.42, -184.96, 0.26, -1.47, -0.01, 0.34, -0.91, 0.00, 
16327, -8.52, 3.66, -286.72, -0.72, -9.75, -187.73, 0.22, -1.49, 0.02, 0.32, -0.93, 0.08, 
16334, -7.30, -2.79, -286.72, -2.19, -8.36, -190.15, 0.19, -1.53, 0.06, 0.28, -0.93, 0.03, 
16343, -10.44, -6.34, -286.72, -1.80, -5.42, -193.09, 0.14, -1.55, 0.04, 0.26, -0.93, 0.01, 
16351, -10.82, -5.16, -286.72, -0.30, -2.91, -195.53, 0.08, -1.58, -0.02, 0.23, -0.94, 0.02, 
16359, -7.80, 7.18, -286.72, 1.22, -4.50, -198.26, 0.05, -1.59, 0.03, 0.21, -0.97, -0.00, 
16367, -8.83, 6.41, -286.72, -0.20, -3.44, -200.85, -0.02, -1.62, 0.06, 0.19, -0.95, 0.05, 
16376, -11.90, 3.39, -286.72, -1.02, -2.51, -203.18, -0.04, -1.63, -0.09, 0.16, -0.98, 0.05, 
16383, -8.03, 5.57, -286.72, -5.04, -9.02, -205.37, -0.10, -1.64, 0.05, 0.13, -0.97, 0.02, 
16392, -6.27, 5.32, -286.72, -3.56, -9.05, -208.02, -0.18, -1.67, 0.16, 0.10, -0.98, 0.03, 
16400, -9.54, 11.18, -286.72, -2.03, -7.42, -210.46, -0.24, -1.67, 0.01, 0.05, -0.97, 0.06, 
16407, -5.81, 0.46, -286.72, -0.29, -4.77, -213.56, -0.24, -1.66, 0.11, 0.03, -0.99, 0.03, 
16416, -1.91, -4.03, -286.72, -1.72, -7.13, -215.27, -0.24, -1.68, 0.15, 0.02, -0.99, -0.06, 
16424, -4.96, -7.39, -286.72, -4.31, -6.16, -217.95, -0.31, -1.64, 0.02, 0.01, -0.98, 0.02, 
16432, 1.02, -4.72, -286.72, -4.80, -5.24, -219.93, -0.34, -1.64, 0.09, -0.06, -0.97, 0.14, 
16441, 1.51, -6.15, -286.72, -5.85, -6.08, -222.17, -0.39, -1.65, 0.07, -0.07, -1.00, 0.10, 
16449, 2.12, -3.42, -286.72, -2.19, -7.69, -223.19, -0.38, -1.63, 0.02, -0.12, -0.98, 0.01, 
16456, 4.36, -10.33, -286.72, -4.10, -5.82, -224.62, -0.41, -1.61, 0.02, -0.15, -0.96, 0.02, 
16465, 6.76, -7.62, -286.72, -3.20, -6.55, -225.56, -0.45, -1.60, 0.07, -0.17, -0.95, 0.09, 
16473, 6.04, 1.68, -286.71, -1.48, -6.27, -226.63, -0.44, -1.57, -0.01, -0.25, -0.93, 0.08, 
16481, 7.29, 3.40, -280.00, -1.07, -5.68, -226.35, -0.42, -1.57, -0.02, -0.35, -0.95, 0.06, 
16490, 7.01, -4.21, -269.61, -1.94, -4.96, -225.79, -0.48, -1.53, 0.00, -0.35, -0.89, 0.03, 
16498, 5.16, -3.41, -260.31, -3.77, -5.71, -224.63, -0.44, -1.50, -0.05, -0.35, -0.92, 0.10, 
16506, 5.31, -1.27, -249.53, -0.86, -6.71, -223.41, -0.43, -1.49, -0.05, -0.37, -0.93, 0.03, 
16513, 5.97, 2.53, -238.98, -0.07, -6.19, -221.68, -0.44, -1.46, 0.00, -0.41, -0.93, 0.05, 
16522, 3.82, 2.79, -229.85, -0.06, -7.01, -219.29, -0.41, -1.44, -0.05, -0.39, -0.92, 0.02, 
16531, 3.37, -4.29, -219.86, -0.56, -6.13, -215.84, -0.42, -1.41, -0.05, -0.43, -0.88, 0.11, 
16538, 2.56, -4.37, -210.04, 0.04, -5.60, -212.68, -0.41, -1.38, -0.04, -0.50, -0.88, 0.07, 
16547, 1.65, 0.77, -201.57, 1.00, -5.45, -209.06, -0.37, -1.35, -0.02, -0.53, -0.86, 0.04, 
16555, 1.90, -0.73, -192.66, 0.25, -5.84, -203.82, -0.36, -1.31, 0.01, -0.54, -0.87, 0.07, 
16562, 0.54, -3.82, -184.91, 1.36, -6.52, -199.20, -0.35, -1.27, 0.00, -0.59, -0.84, 0.08, 
16571, 0.80, -5.66, -177.09, 3.12, -6.81, -193.18, -0.32, -1.24, 0.01, -0.59, -0.84, 0.03, 
16579, 1.28, -8.51, -170.18, 4.19, -9.70, -186.80, -0.31, -1.21, 0.03, -0.64, -0.82, 0.09, 
16586, 0.64, -10.15, -162.72, 8.16, -10.61, -180.46, -0.29, -1.16, 0.01, -0.68, -0.80, 0.06, 
16596, 1.58, -10.14, -156.14, 9.54, -8.16, -173.42, -0.28, -1.11, -0.01, -0.67, -0.83, -0.04, 
16604, 3.68, -3.62, -148.23, 4.60, -4.48, -166.34, -0.28, -1.09, 0.03, -0.70, -0.81, 0.02, 
16611, 3.96, 7.41, -144.53, 3.47, -2.98, -159.62, -0.24, -1.04, 0.04, -0.71, -0.77, 0.08, 
16620, 4.31, 9.33, -139.75, 4.27, -2.96, -150.92, -0.20, -1.00, 0.05, -0.76, -0.76, 0.06, 
16628, 5.68, -0.14, -134.91, 5.41, -1.48, -142.88, -0.18, -0.97, 0.07, -0.76, -0.76, 0.04, 
16635, 7.39, -7.55, -131.08, 5.77, -1.56, -133.21, -0.18, -0.93, 0.08, -0.78, -0.74, 0.06, 
16644, 8.38, -6.93, -127.00, 7.11, -1.31, -124.78, -0.18, -0.90, 0.08, -0.78, -0.74, 0.03, 
16652, 10.18, -2.82, -123.18, 6.31, -0.44, -114.46, -0.18, -0.87, 0.08, -0.79, -0.75, 0.00, 
16659, 10.16, 2.50, -120.16, 5.07, -0.41, -105.53, -0.14, -0.84, 0.06, -0.83, -0.73, 0.02, 
16668, 11.59, -1.11, -116.88, 3.24, 0.01, -94.43, -0.12, -0.81, 0.03, -0.84, -0.73, 0.01, 
16676, 15.38, -8.71, -114.20, 1.75, -0.18, -84.88, -0.13, -0.79, 0.10, -0.83, -0.71, 0.01, 
16684, 15.91, -6.36, -111.28, 2.14, -0.53, -73.71, -0.11, -0.76, 0.11, -0.85, -0.71, 0.04, 
16693, 14.95, -16.43, -108.79, 3.15, 0.32, -64.07, -0.13, -0.73, 0.02, -0.85, -0.69, 0.02, 
16701, 18.78, -12.91, -106.17, 2.49, 0.36, -52.26, -0.13, -0.72, 0.08, -0.86, -0.71, -0.02, 
16708, 19.28, -6.57, -103.69, 1.53, 0.11, -40.93, -0.09, -0.72, 0.09, -0.87, -0.69, 0.03, 
16717, 16.09, -20.20, -100.89, 0.18, 1.52, -30.94, -0.12, -0.70, 0.02, -0.88, -0.70, 0.02, 
16725, 21.98, -17.77, -98.26, 0.23, 0.69, -18.81, -0.11, -0.68, 0.06, -0.89, -0.69, 0.05, 
16732, 18.10, -23.99, -95.21, -0.50, 1.22, -8.65, -0.03, -0.71, 0.12, -0.86, -0.67, 0.04, 
16741, 18.40, 15.41, -92.34, -0.06, 1.50, 3.72, -0.13, -0.65, 0.03, -0.86, -0.67, 0.07, 
16749, 21.72, 7.45, -88.57, 1.86, 2.29, 12.62, -0.31, -0.63, 0.11, -0.89, -0.67, 0.02, 
16755, 18.49, -1.43, -83.71, 0.90, 0.82, 21.65, -0.23, -0.64, 0.06, -0.84, -0.67, 0.03, 
16764, 16.61, -0.82, -78.77, 1.22, 1.66, 30.13, -0.29, -0.64, -0.08, -0.88, -0.70, 0.04, 
16771, 16.78, 12.38, -72.43, 1.41, 3.64, 39.23, -0.26, -0.61, -0.05, -0.85, -0.69, 0.05, 
16780, 15.73, 12.60, -67.11, 1.19, 3.88, 48.00, -0.23, -0.67, 0.05, -0.85, -0.71, 0.04, 
16788, 12.99, 8.94, -61.06, 1.03, 4.06, 56.83, -0.27, -0.66, 0.07, -0.85, -0.69, 0.05, 
16795, 9.98, 2.85, -54.80, 2.39, 3.82, 65.50, -0.31, -0.66, 0.01, -0.85, -0.71, 0.06, 
16803, 9.70, 4.31, -46.79, 4.27, 4.03, 75.03, -0.33, -0.67, -0.00, -0.83, -0.72, 0.05, 
16811, 8.28, 5.68, -39.63, 5.19, 3.24, 82.85, -0.35, -0.67, 0.01, -0.81, -0.72, 0.02, 
16818, 5.64, 4.57, -31.81, 4.46, 4.78, 90.40, -0.37, -0.69, 0.00, -0.80, -0.73, 0.03, 
16826, 3.03, 2.08, -23.41, 4.15, 4.39, 98.35, -0.39, -0.70, -0.00, -0.80, -0.74, 0.06, 
16834, 1.22, -1.15, -14.49, 4.55, 5.57, 105.76, -0.42, -0.71, -0.00, -0.77, -0.76, 0.05, 
16841, -0.83, -3.15, -3.54, 6.41, 3.25, 113.72, -0.45, -0.72, -0.01, -0.75, -0.74, 0.08, 
16850, -2.57, -2.96, 6.45, 7.79, 4.45, 120.82, -0.47, -0.73, -0.02, -0.76, -0.76, 0.03, 
16857, -3.92, -4.00, 17.29, 6.63, 5.33, 127.29, -0.50, -0.73, -0.00, -0.72, -0.77, 0.02, 
16865, -5.88, -5.73, 30.07, 6.25, 5.63, 134.65, -0.53, -0.75, 0.00, -0.73, -0.77, 0.07, 
16873, -7.17, -6.60, 41.94, 8.23, 5.37, 140.44, -0.55, -0.75, 0.01, -0.70, -0.79, 0.03, 
16880, -8.18, -7.59, 54.46, 8.77, 6.60, 146.12, -0.58, -0.77, 0.01, -0.69, -0.80, 0.03, 
16889, -9.63, -7.70, 69.51, 9.73, 6.92, 151.78, -0.61, -0.78, 0.01, -0.67, -0.81, 0.02, 
16897, -9.74, -6.68, 83.27, 9.22, 6.99, 156.76, -0.64, -0.80, 0.04, -0.65, -0.83, 0.01, 
16904, -11.14, -8.36, 97.61, 7.80, 6.90, 161.00, -0.67, -0.81, 0.04, -0.63, -0.84, -0.06, 
16912, -12.61, -9.91, 114.92, 4.60, 7.82, 165.66, -0.72, -0.78, -0.00, -0.60, -0.85, -0.00, 
16921, -11.74, -7.07, 130.58, 6.34, 7.13, 169.57, -0.73, -0.83, 0.07, -0.55, -0.85, 0.04, 
16928, -11.28, -5.50, 149.08, 8.85, 8.11, 172.86, -0.75, -0.85, 0.09, -0.57, -0.88, 0.01, 
16937, -12.78, -4.61, 165.65, 9.30, 8.28, 175.53, -0.77, -0.85, 0.01, -0.53, -0.88, 0.04, 
16945, -12.28, -5.09, 185.32, 8.25, 7.24, 178.39, -0.82, -0.87, 0.01, -0.51, -0.89, 0.02, 
16952, -11.53, -2.41, 203.24, 4.75, 6.41, 180.01, -0.81, -0.90, 0.06, -0.48, -0.91, 0.00, 
16961, -12.13, -4.44, 223.97, 3.45, 5.99, 181.20, -0.87, -0.94, 0.03, -0.34, -0.85, 0.09, 
16969, -12.33, -2.89, 242.34, 6.69, 7.53, 181.44, -0.84, -0.92, 0.02, -0.47, -0.91, 0.07, 
16976, -11.62, -1.59, 262.91, 5.67, 7.22, 181.46, -0.86, -0.96, 0.05, -0.41, -0.92, 0.07, 
16985, -11.89, 1.79, 282.34, 4.76, 6.31, 180.97, -0.87, -0.98, 0.05, -0.36, -0.93, 0.08, 
16992, -12.36, 5.11, 286.68, 3.36, 5.61, 180.08, -0.86, -1.00, 0.03, -0.31, -0.96, 0.08, 
16999, -11.84, 2.43, 286.68, 2.26, 5.76, 178.24, -0.85, -1.05, 0.03, -0.31, -0.94, 0.07, 
17008, -11.95, 4.47, 286.68, 2.23, 6.34, 176.01, -0.86, -1.07, 0.04, -0.29, -0.95, 0.03, 
17016, -12.09, 14.22, 286.68, 3.60, 7.63, 173.10, -0.83, -1.10, 0.05, -0.27, -0.96, 0.01, 
17023, -11.51, 16.96, 286.68, 3.25, 11.31, 170.11, -0.80, -1.16, -0.02, -0.21, -1.00, -0.10, 
17032, -11.17, 5.87, 286.68, 0.53, 12.25, 166.20, -0.79, -1.21, -0.01, -0.17, -1.00, -0.04, 
17041, -11.44, 8.23, 286.68, -1.50, 8.75, 163.79, -0.77, -1.26, 0.04, -0.16, -0.98, -0.07, 
17048, -13.18, 18.44, 286.68, 4.37, 7.84, 159.58, -0.71, -1.30, 0.01, -0.15, -0.99, 0.03, 
17057, -11.27, 29.98, 286.68, 7.36, 7.51, 155.81, -0.66, -1.39, -0.01, -0.16, -1.02, -0.05, 
17065, -9.74, 42.46, 286.68, 3.19, 6.51, 152.68, -0.53, -1.44, 0.03, -0.10, -0.91, 0.08, 
17072, -8.08, 41.77, 286.68, 2.65, 7.57, 149.59, -0.49, -1.47, 0.08, -0.06, -1.01, 0.13, 
17081, -6.59, 39.56, 286.68, 2.81, 9.95, 146.29, -0.34, -1.52, 0.02, -0.09, -1.03, 0.05, 
17087, -4.56, 37.04, 286.68, 3.16, 9.49, 144.34, -0.23, -1.57, -0.01, -0.04, -1.01, 0.06, 
17096, -3.60, 27.24, 286.68, 5.77, 5.53, 143.53, -0.15, -1.60, 0.02, -0.08, -1.01, 0.02, 
17104, -3.06, 14.58, 286.68, 6.20, 3.96, 143.40, -0.04, -1.60, 0.01, -0.06, -1.05, -0.03, 
17111, -2.56, 16.96, 286.68, 4.23, 7.95, 143.59, 0.07, -1.59, 0.01, 0.00, -1.02, 0.06, 
17120, -0.82, 20.92, 286.68, 4.92, 7.24, 144.64, 0.17, -1.58, 0.04, -0.01, -1.00, 0.06, 
17128, 0.90, 38.29, 286.68, 6.48, 7.12, 146.92, 0.28, -1.57, 0.07, -0.03, -1.01, 0.03, 
17135, -1.79, 29.33, 286.68, 5.85, 6.44, 149.28, 0.41, -1.51, -0.06, -0.01, -0.98, 0.06, 
17143, 2.96, 15.16, 286.68, 6.75, 7.37, 153.02, 0.46, -1.49, -0.01, 0.02, -1.00, 0.02, 
17151, 5.32, 5.74, 286.68, 5.54, 5.93, 157.18, 0.53, -1.44, 0.07, 0.03, -0.97, 0.16, 
17158, 2.41, 10.11, 286.68, 7.34, 8.09, 161.25, 0.57, -1.39, 0.01, 0.07, -0.98, 0.07, 
17166, 4.51, 21.54, 286.68, 5.84, 7.45, 164.67, 0.61, -1.34, -0.00, 0.09, -0.98, 0.04, 
17174, 8.19, 29.84, 286.68, 7.30, 9.52, 168.82, 0.65, -1.31, 0.08, 0.09, -1.00, -0.06, 
17181, 6.41, 25.66, 286.68, 6.01, 8.79, 172.96, 0.79, -1.28, 0.04, 0.13, -1.01, -0.07, 
17190, 8.58, -2.98, 286.68, 4.44, 8.72, 177.36, 0.73, -1.23, -0.07, 0.17, -0.97, 0.04, 
17196, 10.83, 5.94, 286.68, 6.18, 5.47, 180.75, 0.81, -1.18, 0.06, 0.17, -0.97, 0.02, 
17205, 9.78, 5.83, 286.68, 4.69, 11.60, 183.39, 0.77, -1.16, 0.04, 0.21, -0.96, -0.00, 
17213, 8.81, 8.41, 286.68, 5.76, 10.92, 185.89, 0.77, -1.11, -0.01, 0.17, -0.96, 0.01, 
17219, 11.86, 7.20, 286.68, 4.69, 11.16, 188.47, 0.76, -1.13, 0.03, 0.29, -0.93, -0.05, 
17228, 10.97, 4.31, 280.31, 5.85, 7.02, 190.17, 0.76, -1.09, 0.02, 0.21, -0.95, 0.10, 
17236, 9.98, 3.25, 263.24, 6.20, 11.29, 191.13, 0.76, -1.07, -0.01, 0.29, -0.96, -0.01, 
17243, 11.20, 7.92, 244.63, 5.58, 11.45, 191.63, 0.76, -1.06, 0.00, 0.38, -0.89, 0.02, 
17251, 11.73, 6.97, 225.79, 6.31, 10.45, 191.51, 0.74, -1.03, 0.02, 0.36, -0.96, -0.03, 
17259, 10.38, 2.86, 207.36, 4.69, 8.21, 191.31, 0.72, -1.01, -0.02, 0.38, -0.88, 0.05, 
17266, 11.08, 1.30, 187.37, 6.69, 7.88, 190.09, 0.70, -1.00, -0.00, 0.40, -0.88, 0.04, 
17275, 10.76, 1.84, 170.02, 6.32, 8.81, 188.34, 0.68, -0.99, -0.00, 0.44, -0.85, 0.02, 
17281, 9.75, 2.23, 153.21, 5.66, 9.19, 186.52, 0.68, -0.97, -0.01, 0.47, -0.86, 0.02, 
17290, 9.84, 1.27, 136.64, 4.35, 6.81, 183.45, 0.60, -0.95, -0.03, 0.49, -0.82, 0.11, 
17298, 10.37, 0.86, 121.14, 6.56, 12.30, 180.65, 0.60, -0.94, -0.00, 0.51, -0.84, -0.02, 
17305, 9.77, -0.73, 104.26, 6.44, 6.20, 176.33, 0.57, -0.94, -0.01, 0.58, -0.81, 0.10, 
17313, 8.61, -1.09, 90.02, 9.28, 5.94, 172.32, 0.54, -0.94, -0.01, 0.59, -0.84, -0.05, 
17321, 8.52, -0.22, 76.29, 6.55, 4.37, 167.76, 0.52, -0.92, 0.01, 0.59, -0.78, 0.03, 
17328, 8.21, -3.28, 63.59, 8.58, 5.66, 162.65, 0.48, -0.90, 0.02, 0.62, -0.81, -0.01, 
17336, 7.69, -3.15, 51.25, 6.53, 5.83, 154.97, 0.46, -0.89, 0.00, 0.63, -0.77, 0.02, 
17344, 7.42, -2.56, 40.21, 8.02, 5.93, 151.29, 0.42, -0.87, -0.00, 0.65, -0.76, 0.03, 
17350, 7.08, -4.03, 27.30, 7.81, 2.24, 144.38, 0.39, -0.85, 0.02, 0.69, -0.76, 0.03, 
17359, 6.94, -3.64, 18.39, 7.25, 4.03, 137.66, 0.35, -0.84, -0.00, 0.67, -0.75, 0.03, 
17366, 5.94, -5.27, 9.16, 7.74, 5.68, 130.88, 0.32, -0.82, -0.00, 0.71, -0.74, 0.01, 
17374, 5.78, -4.20, 0.84, 7.89, 4.87, 123.39, 0.31, -0.80, 0.03, 0.71, -0.73, 0.02, 
17382, 5.88, -3.30, -6.98, 8.27, 5.49, 115.92, 0.28, -0.79, 0.03, 0.74, -0.73, -0.00, 
17388, 5.32, -7.54, -14.10, 8.61, 4.06, 107.92, 0.25, -0.78, 0.00, 0.71, -0.71, 0.09, 
17397, 5.22, -15.07, -20.65, 8.55, 5.51, 99.96, 0.26, -0.75, 0.02, 0.74, -0.72, -0.07, 
17405, 5.36, -25.10, -26.70, 6.70, 4.59, 91.44, 0.23, -0.75, 0.05, 0.76, -0.71, -0.00, 
17411, 4.15, -31.90, -32.13, 6.45, 7.09, 81.77, 0.16, -0.72, 0.06, 0.78, -0.68, 0.05, 
17420, 4.80, -30.86, -37.63, 9.21, 5.31, 72.98, 0.16, -0.72, 0.04, 0.79, -0.69, -0.01, 
17427, 5.47, -25.24, -42.10, 8.22, 3.88, 63.94, 0.14, -0.71, 0.04, 0.78, -0.68, 0.02, 
17435, 5.76, -18.31, -46.16, 8.20, 5.43, 55.00, 0.11, -0.69, 0.06, 0.79, -0.67, 0.01, 
17443, 5.90, -14.54, -49.55, 7.91, 5.77, 45.19, 0.11, -0.69, 0.04, 0.80, -0.68, 0.01, 
17450, 6.12, -15.08, -52.91, 7.07, 4.87, 35.64, 0.10, -0.67, 0.03, 0.81, -0.67, -0.04, 
17458, 7.08, -8.74, -55.80, 6.93, 2.96, 25.18, 0.07, -0.67, 0.06, 0.81, -0.65, 0.04, 
17466, 7.28, -3.43, -58.58, 7.62, 4.27, 15.36, 0.09, -0.66, 0.07, 0.80, -0.66, 0.01, 
17472, 7.34, -4.32, -61.05, 6.55, 3.26, 5.44, 0.08, -0.67, 0.04, 0.81, -0.68, -0.01, 
17481, 8.13, -8.08, -63.74, 6.25, 3.89, -4.03, 0.08, -0.67, 0.04, 0.80, -0.66, 0.03, 
17488, 8.55, -8.89, -66.06, 5.88, 2.31, -13.76, 0.04, -0.69, 0.05, 0.79, -0.68, -0.02, 
17496, 8.67, -3.23, -68.15, 4.45, 2.73, -23.83, 0.06, -0.69, 0.06, 0.82, -0.67, 0.02, 
17504, 8.77, 0.90, -70.44, 4.33, 0.89, -33.25, 0.05, -0.69, 0.03, 0.80, -0.67, -0.01, 
17511, 9.46, 5.67, -72.25, 4.43, 1.45, -43.03, 0.05, -0.71, 0.04, 0.80, -0.67, 0.01, 
17519, 10.44, 10.24, -74.42, 3.81, 0.93, -52.74, 0.07, -0.73, 0.07, 0.78, -0.69, -0.00, 
17527, 9.49, 1.26, -76.71, 2.53, 2.71, -64.15, 0.07, -0.74, 0.04, 0.78, -0.69, 0.02, 
17534, 9.28, 2.50, -78.68, 2.60, -1.97, -73.26, 0.09, -0.77, 0.03, 0.75, -0.68, 0.02, 
17542, 9.56, -2.35, -81.86, 2.46, -0.62, -82.27, 0.09, -0.79, 0.03, 0.76, -0.69, 0.02, 
17550, 9.48, -10.29, -84.33, 1.34, -1.05, -91.42, 0.08, -0.81, 0.04, 0.75, -0.70, 0.03, 
17557, 9.85, -5.29, -87.20, 0.54, 0.46, -100.63, 0.09, -0.84, 0.05, 0.75, -0.73, 0.03, 
17565, 8.57, -0.18, -89.97, -1.79, 2.21, -109.81, 0.10, -0.88, 0.04, 0.77, -0.70, 0.11, 
17572, 8.16, 3.93, -93.46, -0.18, 1.94, -119.67, 0.11, -0.91, 0.03, 0.72, -0.74, -0.07, 
17581, 8.93, 7.64, -97.18, -2.46, 0.43, -127.69, 0.14, -0.94, 0.05, 0.72, -0.72, 0.08, 
17589, 7.89, 9.06, -101.50, -1.39, -2.92, -135.54, 0.16, -0.97, 0.04, 0.66, -0.74, 0.05, 
17596, 6.34, 7.95, -106.15, -1.04, -2.97, -144.37, 0.19, -1.01, 0.01, 0.67, -0.76, 0.01, 
17605, 5.82, 5.36, -110.99, -3.04, -1.97, -151.57, 0.19, -1.04, 0.02, 0.65, -0.76, 0.06, 
17612, 5.67, 4.74, -116.09, -2.89, -0.95, -159.05, 0.21, -1.08, 0.04, 0.63, -0.79, -0.01, 
17619, 4.25, 5.24, -122.55, -1.37, -3.12, -166.10, 0.23, -1.11, 0.03, 0.61, -0.80, 0.01, 
17628, 3.16, 3.60, -128.52, -0.65, -5.79, -172.44, 0.26, -1.15, 0.01, 0.58, -0.81, 0.01, 
17636, 2.38, 2.39, -135.06, -0.95, -6.16, -179.03, 0.27, -1.19, 0.05, 0.60, -0.75, 0.10, 
17643, 1.33, 3.52, -143.14, -0.46, -7.62, -184.33, 0.27, -1.22, 0.02, 0.41, -0.76, 0.13, 
17652, 0.36, 5.88, -150.85, 2.93, -10.81, -189.60, 0.29, -1.25, 0.04, 0.54, -0.88, -0.02, 
17660, -0.74, 6.85, -159.97, -0.78, 0.00, -195.26, 0.32, -1.27, 0.01, 0.46, -0.86, 0.08, 
17667, -2.20, 10.35, -168.28, -0.14, -3.61, -199.08, 0.36, -1.30, 0.01, 0.49, -0.86, 0.08, 
17676, -3.33, 11.97, -178.75, -2.96, -6.28, -203.17, 0.38, -1.33, 0.03, 0.41, -0.89, 0.09, 
17684, -4.63, 11.97, -188.22, -0.73, -5.43, -205.75, 0.39, -1.37, 0.04, 0.37, -0.91, 0.07, 
17691, -6.03, 13.03, -199.44, 0.82, -5.50, -208.64, 0.40, -1.39, 0.00, 0.36, -0.92, -0.07, 
17700, -7.35, 12.81, -209.78, -1.91, -2.49, -211.04, 0.42, -1.41, 0.01, 0.36, -0.85, 0.11, 
17708, -7.99, 11.18, -221.68, 0.36, -11.97, -212.54, 0.44, -1.44, 0.02, 0.31, -0.93, 0.04, 
17715, -6.75, 6.34, -232.52, -3.53, -6.60, -213.89, 0.45, -1.46, 0.06, 0.27, -0.94, 0.00, 
17724, -8.58, 4.98, -244.88, -2.47, -2.95, -214.63, 0.42, -1.47, 0.06, 0.31, -0.95, -0.02, 
17732, -9.84, 11.76, -255.69, -0.25, -1.06, -214.86, 0.42, -1.48, 0.04, 0.23, -0.95, 0.01, 
17739, -9.23, 16.91, -267.93, 2.07, -4.28, -214.59, 0.44, -1.51, 0.05, 0.18, -0.95, 0.03, 
17748, -10.88, 8.58, -278.29, 0.64, -5.47, -214.01, 0.44, -1.53, 0.01, 0.12, -0.98, -0.02, 
17756, -9.14, -9.61, -286.72, -1.96, -0.95, -213.05, 0.43, -1.53, 0.01, 0.16, -0.99, -0.03, 
17764, -9.64, -22.24, -286.72, -5.81, -9.39, -211.50, 0.39, -1.56, 0.05, 0.08, -0.98, 0.05, 
17773, -8.37, -21.06, -286.72, -4.41, -8.22, -209.73, 0.30, -1.58, 0.07, 0.05, -0.97, 0.02, 
17781, -5.69, 0.57, -286.72, -1.48, -6.65, -207.61, 0.34, -1.59, 0.03, -0.01, -0.97, 0.06, 
